##########
# Recording 101060 start
# Format: >Millis Micros AccelX AccelY AccelZ RotX RotY RotZ<
# All multiplied x100000
##########
101655 101655912 610 -48 97290 -45219 -39630 -474285
101659 101659676 659 -585 96435 -45040 -39596 -474281
101671 101672512 48 244 96728 -43730 -38370 -474155
101676 101676256 146 -781 98413 -43807 -37735 -474170
101679 101680024 97 -708 97534 -43830 -36942 -474146
101683 101683780 463 -415 97436 -43485 -36728 -473994
101687 101687536 390 -268 96459 -42963 -36513 -473921
101690 101691284 512 -830 97656 -43079 -36447 -473928
101694 101695048 732 -1147 97070 -43514 -36484 -473971
101698 101698828 341 -585 96704 -43353 -36143 -473922
101701 101702576 -195 -1147 97753 -43821 -35242 -474014
101709 101710100 341 -878 96899 -43840 -34915 -473812
101712 101713848 756 -585 97534 -43827 -35145 -473916
101716 101717604 1025 -659 97607 -43704 -35806 -473864
101721 101721388 1123 -708 97119 -43707 -36301 -473828
101724 101725160 390 -1000 97387 -43922 -36145 -473938
101728 101728940 390 -830 97436 -44064 -35896 -473988
101732 101732700 512 -1098 97045 -44436 -35750 -473961
101736 101736480 561 -1196 97338 -44957 -35644 -474021
101739 101740260 1000 -1000 97192 -45281 -36246 -473802
101746 101746724 659 -683 97705 -45064 -36352 -473629
101749 101750484 659 -439 97607 -44788 -36443 -473556
101753 101754248 659 -610 98437 -44559 -36493 -473534
101757 101758020 781 -903 97387 -44702 -36661 -473480
101761 101761804 781 -1196 98364 -45347 -36811 -473487
101765 101765592 610 -708 98388 -45266 -36721 -473528
101769 101769364 341 -1147 97534 -45670 -36349 -473469
101772 101773132 830 -1367 97119 -46341 -36706 -473531
101776 101776916 781 -146 96606 -45632 -36824 -473519
101780 101780688 -195 -756 96655 -45707 -35984 -473547
101784 101785204 366 -952 97314 -45894 -35796 -473693
101788 101788960 830 -1367 98437 -46695 -36053 -473753
101791 101792736 561 -1025 97021 -46973 -36040 -473992
101795 101796524 -97 -1342 97558 -47703 -35171 -474066
101799 101800312 390 -830 96948 -47749 -34909 -474112
101804 101804080 268 -878 97900 -47837 -34590 -474177
101807 101807848 488 97 97680 -46762 -34456 -474159
101811 101811604 537 -1293 98095 -47357 -34347 -474132
101815 101815384 537 -292 96533 -46746 -34277 -474279
101819 101819896 195 -903 96899 -46869 -33820 -474170
101823 101823672 1220 -903 97094 -47026 -34573 -474193
101826 101827460 1220 -659 96435 -46888 -35328 -474096
101830 101831244 463 -1171 97656 -47369 -35193 -474109
101834 101835024 415 -732 97460 -47311 -34943 -474142
101837 101838772 756 -781 97021 -47211 -35111 -474136
101841 101842544 830 -659 97534 -47169 -35465 -474082
101846 101846312 781 -585 97119 -46841 -35692 -474150
101849 101850072 195 -781 97851 -46910 -35216 -474114
101853 101853848 463 -854 97436 -46871 -35096 -474066
101858 101858356 317 -634 97387 -46730 -34644 -474122
101861 101862104 512 -854 97265 -46840 -34493 -474049
